rule,precision,recall,rule_coverage,Target,Sample size
"products_number<=1 & age>40 & credit_card==""Yes"" & estimated_salary>68985.99",1.0,0.4705882352941176,0.08,0.17,100
"estimated_salary>68985.99 & country!=""Spain"" & age>47",1.0,0.3529411764705882,0.06,0.17,100
"products_number<=1 & age>40 & active_member==""No"" & customer_id>15692991",1.0,0.3529411764705882,0.06,0.17,100
customer_id>15692991 & age>47,1.0,0.2941176470588235,0.05,0.17,100
"products_number<=1 & country!=""Spain"" & age>47",1.0,0.2941176470588235,0.05,0.17,100
"country!=""Spain"" & age>47 & active_member==""No""",1.0,0.2941176470588235,0.05,0.17,100
"credit_card==""Yes"" & country!=""Spain"" & age>47",1.0,0.2941176470588235,0.05,0.17,100
"products_number<=1 & credit_card==""Yes"" & age>47",1.0,0.2941176470588235,0.05,0.17,100
"gender==""Female"" & age>40 & credit_card==""Yes"" & active_member==""No""",1.0,0.2941176470588235,0.05,0.17,100
"gender==""Female"" & estimated_salary<=123825.83 & age>40 & credit_score>645",1.0,0.2941176470588235,0.05,0.17,100
tenure<=6 & estimated_salary<=95611.74 & products_number<=1 & estimated_salary>68985.99 & balance<=126550.7,1.0,0.2941176470588235,0.05,0.17,100
age>56,1.0,0.1176470588235294,0.02,0.17,100
"estimated_salary>68985.99 & age>40 & credit_card==""Yes"" & active_member==""No""",0.875,0.4117647058823529,0.08,0.17,100
"country!=""Spain"" & age>47",0.8571428571428571,0.3529411764705882,0.07,0.17,100
products_number<=1 & age>47,0.8571428571428571,0.3529411764705882,0.07,0.17,100
"credit_card==""Yes"" & age>47",0.8571428571428571,0.3529411764705882,0.07,0.17,100
"gender==""Female"" & age>40 & credit_score>645",0.8571428571428571,0.3529411764705882,0.07,0.17,100
"age>47 & active_member==""No""",0.8333333333333334,0.2941176470588235,0.06,0.17,100
"gender==""Female"" & estimated_salary<=123825.83 & age>40",0.8333333333333334,0.2941176470588235,0.06,0.17,100
estimated_salary>68985.99 & age>47 & credit_score>645,0.8333333333333334,0.2941176470588235,0.06,0.17,100
products_number<=1 & balance<=126550.7 & estimated_salary<=95611.74 & estimated_salary>68985.99,0.8333333333333334,0.2941176470588235,0.06,0.17,100
products_number<=1 & tenure<=6 & estimated_salary<=95611.74 & estimated_salary>68985.99,0.8333333333333334,0.2941176470588235,0.06,0.17,100
products_number<=1 & balance<=126550.7 & estimated_salary>68985.99 & estimated_salary<=95611.74,0.8333333333333334,0.2941176470588235,0.06,0.17,100
products_number<=1 & tenure<=6 & estimated_salary>68985.99 & estimated_salary<=95611.74,0.8333333333333334,0.2941176470588235,0.06,0.17,100
estimated_salary>68985.99 & age>47,0.7777777777777778,0.4117647058823529,0.09,0.17,100
"gender==""Female"" & age>40 & credit_card==""Yes""",0.7777777777777778,0.4117647058823529,0.09,0.17,100
"age>40 & customer_id>15750874 & credit_card==""Yes""",0.7777777777777778,0.4117647058823529,0.09,0.17,100
"products_number<=1 & age>40 & active_member==""No""",0.7777777777777778,0.4117647058823529,0.09,0.17,100
"customer_id>15692991 & age>40 & credit_card==""Yes""",0.75,0.5294117647058824,0.12,0.17,100
products_number<=1 & age>40 & estimated_salary>68985.99,0.75,0.5294117647058824,0.12,0.17,100
"products_number<=1 & balance<=126550.7 & estimated_salary<=123825.83 & gender==""Female""",0.75,0.3529411764705882,0.08,0.17,100
age>47 & credit_score>645,0.7142857142857143,0.2941176470588235,0.07,0.17,100
age>47,0.7,0.4117647058823529,0.1,0.17,100
"gender==""Female"" & age>40",0.6363636363636364,0.4117647058823529,0.11,0.17,100
products_number<=1 & estimated_salary<=95611.74 & estimated_salary>68985.99,0.625,0.2941176470588235,0.08,0.17,100
"products_number<=1 & active_member==""No"" & estimated_salary<=95611.74",0.625,0.2941176470588235,0.08,0.17,100
products_number<=1 & estimated_salary>68985.99 & estimated_salary<=95611.74,0.625,0.2941176470588235,0.08,0.17,100
"products_number<=1 & estimated_salary<=123825.83 & active_member==""No""",0.6153846153846154,0.4705882352941176,0.13,0.17,100
products_number<=1 & age>40,0.6,0.5294117647058824,0.15,0.17,100
age>40 & customer_id>15750874,0.5833333333333334,0.4117647058823529,0.12,0.17,100
"gender==""Female"" & balance<=126550.7 & products_number<=1",0.5833333333333334,0.4117647058823529,0.12,0.17,100
"products_number<=1 & credit_card==""Yes"" & active_member==""No""",0.5555555555555556,0.5882352941176471,0.18,0.17,100
"products_number<=1 & country==""Germany""",0.5555555555555556,0.2941176470588235,0.09,0.17,100
estimated_salary>68985.99 & tenure<=4 & estimated_salary<=95611.74,0.5555555555555556,0.2941176470588235,0.09,0.17,100
tenure<=4 & estimated_salary<=95611.74 & estimated_salary>68985.99,0.5555555555555556,0.2941176470588235,0.09,0.17,100
"age>40 & credit_card==""Yes""",0.55,0.6470588235294118,0.2,0.17,100
"products_number<=1 & balance<=126550.7 & credit_card==""Yes""",0.5454545454545454,0.7058823529411765,0.22,0.17,100
"products_number<=1 & customer_id>15750874 & active_member==""No""",0.5454545454545454,0.3529411764705882,0.11,0.17,100
"products_number<=1 & active_member==""No"" & customer_id>15750874",0.5454545454545454,0.3529411764705882,0.11,0.17,100
"age>40 & active_member==""No""",0.5333333333333333,0.4705882352941176,0.15,0.17,100
products_number<=1 & estimated_salary<=123825.83 & estimated_salary>68985.99,0.5294117647058824,0.5294117647058824,0.17,0.17,100
"age>40 & country!=""Spain""",0.5263157894736842,0.5882352941176471,0.19,0.17,100
"products_number<=1 & balance<=126550.7 & active_member==""No""",0.5238095238095238,0.6470588235294118,0.21,0.17,100
estimated_salary>68985.99 & age>40,0.5,0.6470588235294118,0.22,0.17,100
age>40 & credit_score>690,0.5,0.4117647058823529,0.14,0.17,100
"products_number<=1 & customer_id>15692991 & active_member==""No""",0.5,0.4117647058823529,0.14,0.17,100
"products_number<=1 & active_member==""No"" & credit_score>690",0.5,0.4117647058823529,0.14,0.17,100
"gender==""Female"" & active_member==""No"" & products_number<=1",0.5,0.3529411764705882,0.12,0.17,100
products_number<=1 & balance<=126550.7 & customer_id>15750874,0.5,0.3529411764705882,0.12,0.17,100
products_number<=1 & balance<=126550.7 & tenure<=4,0.5,0.2941176470588235,0.1,0.17,100
"products_number<=1 & active_member==""No""",0.4782608695652174,0.6470588235294118,0.23,0.17,100
"products_number<=1 & customer_id>15692991 & credit_card==""Yes""",0.4736842105263157,0.5294117647058824,0.19,0.17,100
products_number<=1 & balance<=126550.7 & tenure<=6,0.4736842105263157,0.5294117647058824,0.19,0.17,100
"products_number<=1 & credit_card==""Yes"" & tenure<=6",0.4736842105263157,0.5294117647058824,0.19,0.17,100
"products_number<=1 & credit_card==""Yes"" & credit_score>690",0.4736842105263157,0.5294117647058824,0.19,0.17,100
"gender==""Female"" & credit_card==""Yes"" & products_number<=1",0.4666666666666667,0.4117647058823529,0.15,0.17,100
"gender==""Female"" & tenure<=6 & country!=""Spain""",0.4615384615384615,0.3529411764705882,0.13,0.17,100
products_number<=1 & balance<=126550.7,0.4482758620689655,0.7647058823529411,0.29,0.17,100
balance<=126550.7 & age>40,0.44,0.6470588235294118,0.25,0.17,100
"gender==""Female"" & products_number<=1",0.4375,0.4117647058823529,0.16,0.17,100
"products_number<=1 & credit_card==""Yes"" & credit_score>645",0.4347826086956521,0.5882352941176471,0.23,0.17,100
"products_number<=1 & credit_card==""Yes""",0.4333333333333333,0.7647058823529411,0.3,0.17,100
age>40,0.4285714285714285,0.7058823529411765,0.28,0.17,100
products_number<=1 & credit_score>690,0.4285714285714285,0.5294117647058824,0.21,0.17,100
products_number<=1 & estimated_salary<=123825.83,0.4166666666666667,0.5882352941176471,0.24,0.17,100
"credit_card==""Yes"" & country==""Germany""",0.4166666666666667,0.2941176470588235,0.12,0.17,100
"customer_id>15750874 & active_member==""No"" & credit_score>690",0.4166666666666667,0.2941176470588235,0.12,0.17,100
"products_number<=1 & country!=""Spain""",0.4074074074074074,0.6470588235294118,0.27,0.17,100
products_number<=1 & estimated_salary>68985.99,0.40625,0.7647058823529411,0.32,0.17,100
tenure<=4 & estimated_salary<=95611.74,0.4,0.3529411764705882,0.15,0.17,100
products_number<=1 & credit_score>645,0.3846153846153846,0.5882352941176471,0.26,0.17,100
"estimated_salary>68985.99 & country==""Germany""",0.3846153846153846,0.2941176470588235,0.13,0.17,100
products_number<=1 & tenure<=4,0.3846153846153846,0.2941176470588235,0.13,0.17,100
products_number<=1 & tenure<=6,0.375,0.5294117647058824,0.24,0.17,100
products_number<=1 & customer_id>15692991,0.36,0.5294117647058824,0.25,0.17,100
products_number<=1,0.358974358974359,0.8235294117647058,0.39,0.17,100
"country==""Germany""",0.3571428571428571,0.2941176470588235,0.14,0.17,100
tenure<=6 & estimated_salary<=95611.74,0.3478260869565217,0.4705882352941176,0.23,0.17,100
"gender==""Female"" & country!=""Spain"" & active_member==""No""",0.3333333333333333,0.3529411764705882,0.18,0.17,100
"gender==""Female"" & customer_id>15692991 & active_member==""No""",0.3333333333333333,0.2941176470588235,0.15,0.17,100
"balance<=126550.7 & customer_id>15750874 & active_member==""No""",0.3181818181818182,0.4117647058823529,0.22,0.17,100
tenure<=4 & customer_id>15750874,0.3125,0.2941176470588235,0.16,0.17,100
