rule,precision,recall,rule_coverage,Target,Sample size
"products_number<=1 & age>40 & credit_card==""Yes"" & estimated_salary>68985.99",1.0,0.4705882352941176,0.08,0.17,100
"estimated_salary>68985.99 & country!=""Spain"" & age>47",1.0,0.3529411764705882,0.06,0.17,100
"products_number<=1 & age>40 & active_member==""No"" & customer_id>15692991",1.0,0.3529411764705882,0.06,0.17,100
customer_id>15692991 & age>47,1.0,0.2941176470588235,0.05,0.17,100
"products_number<=1 & country!=""Spain"" & age>47",1.0,0.2941176470588235,0.05,0.17,100
"country!=""Spain"" & age>47 & active_member==""No""",1.0,0.2941176470588235,0.05,0.17,100
"credit_card==""Yes"" & country!=""Spain"" & age>47",1.0,0.2941176470588235,0.05,0.17,100
"products_number<=1 & credit_card==""Yes"" & age>47",1.0,0.2941176470588235,0.05,0.17,100
"gender==""Female"" & age>40 & credit_card==""Yes"" & active_member==""No""",1.0,0.2941176470588235,0.05,0.17,100
"gender==""Female"" & estimated_salary<=123825.83 & age>40 & credit_score>645",1.0,0.2941176470588235,0.05,0.17,100
tenure<=6 & estimated_salary<=95611.74 & products_number<=1 & estimated_salary>68985.99 & balance<=126550.7,1.0,0.2941176470588235,0.05,0.17,100
"gender==""Female"" & age>47 & active_member==""No"" & estimated_salary>97906.38",1.0,0.1213592233009708,0.025,0.206,1000
age>56,1.0,0.1176470588235294,0.02,0.17,100
"active_member==""No"" & age>53",0.9748953974895398,0.1135477582846003,0.0239,0.2052,10000
"gender==""Female"" & age>47 & active_member==""No""",0.9743589743589745,0.1844660194174757,0.039,0.206,1000
"age>47 & customer_id>15708714 & active_member==""No""",0.9629629629629628,0.1262135922330097,0.027,0.206,1000
"estimated_salary>130805.54 & age>47 & active_member==""No""",0.9393939393939394,0.1504854368932038,0.033,0.206,1000
"age>47 & active_member==""No"" & estimated_salary>97906.38",0.9333333333333332,0.203883495145631,0.045,0.206,1000
"country!=""France"" & age>47 & active_member==""No""",0.9230769230769232,0.174757281553398,0.039,0.206,1000
"age>47 & active_member==""No"" & balance>104488.17",0.9032258064516128,0.1359223300970873,0.031,0.206,1000
"age>47 & active_member==""No""",0.8970588235294118,0.2961165048543689,0.068,0.206,1000
"gender==""Female"" & age>47 & balance>104488.17",0.88,0.1067961165048543,0.025,0.206,1000
"estimated_salary>68985.99 & age>40 & credit_card==""Yes"" & active_member==""No""",0.875,0.4117647058823529,0.08,0.17,100
"country!=""France"" & customer_id>15708714 & age>47",0.875,0.1019417475728155,0.024,0.206,1000
"age>47 & country==""Germany""",0.8717948717948718,0.1650485436893204,0.039,0.206,1000
"country!=""Spain"" & age>47",0.8571428571428571,0.3529411764705882,0.07,0.17,100
products_number<=1 & age>47,0.8571428571428571,0.3529411764705882,0.07,0.17,100
"credit_card==""Yes"" & age>47",0.8571428571428571,0.3529411764705882,0.07,0.17,100
"gender==""Female"" & age>40 & credit_score>645",0.8571428571428571,0.3529411764705882,0.07,0.17,100
"gender==""Female"" & age>47 & estimated_salary>97906.38",0.85,0.1650485436893204,0.04,0.206,1000
balance>117052.82 & age>47,0.8461538461538461,0.1067961165048543,0.026,0.206,1000
"age>47 & active_member==""No""",0.8333333333333334,0.2941176470588235,0.06,0.17,100
"gender==""Female"" & estimated_salary<=123825.83 & age>40",0.8333333333333334,0.2941176470588235,0.06,0.17,100
estimated_salary>68985.99 & age>47 & credit_score>645,0.8333333333333334,0.2941176470588235,0.06,0.17,100
products_number<=1 & balance<=126550.7 & estimated_salary<=95611.74 & estimated_salary>68985.99,0.8333333333333334,0.2941176470588235,0.06,0.17,100
products_number<=1 & tenure<=6 & estimated_salary<=95611.74 & estimated_salary>68985.99,0.8333333333333334,0.2941176470588235,0.06,0.17,100
products_number<=1 & balance<=126550.7 & estimated_salary>68985.99 & estimated_salary<=95611.74,0.8333333333333334,0.2941176470588235,0.06,0.17,100
products_number<=1 & tenure<=6 & estimated_salary>68985.99 & estimated_salary<=95611.74,0.8333333333333334,0.2941176470588235,0.06,0.17,100
age>47 & customer_id>15708714 & estimated_salary>97906.38,0.8214285714285714,0.1116504854368932,0.028,0.206,1000
customer_id>15708714 & age>47 & estimated_salary>97906.38,0.8214285714285714,0.1116504854368932,0.028,0.206,1000
age>47 & balance>104488.17,0.8125,0.1893203883495145,0.048,0.206,1000
"country!=""France"" & age>47",0.8095238095238095,0.2475728155339805,0.063,0.206,1000
estimated_salary>130805.54 & age>47,0.803921568627451,0.1990291262135922,0.051,0.206,1000
"gender==""Female"" & age>41 & country==""Germany""",0.8038674033149171,0.141812865497076,0.0362,0.2052,10000
"gender==""Female"" & age>47",0.803030303030303,0.2572815533980582,0.066,0.206,1000
estimated_salary>68985.99 & age>47,0.7777777777777778,0.4117647058823529,0.09,0.17,100
"gender==""Female"" & age>40 & credit_card==""Yes""",0.7777777777777778,0.4117647058823529,0.09,0.17,100
"age>40 & customer_id>15750874 & credit_card==""Yes""",0.7777777777777778,0.4117647058823529,0.09,0.17,100
"products_number<=1 & age>40 & active_member==""No""",0.7777777777777778,0.4117647058823529,0.09,0.17,100
age>47 & estimated_salary>97906.38,0.7777777777777778,0.2718446601941747,0.072,0.206,1000
"customer_id>15692991 & age>40 & credit_card==""Yes""",0.75,0.5294117647058824,0.12,0.17,100
products_number<=1 & age>40 & estimated_salary>68985.99,0.75,0.5294117647058824,0.12,0.17,100
"products_number<=1 & balance<=126550.7 & estimated_salary<=123825.83 & gender==""Female""",0.75,0.3529411764705882,0.08,0.17,100
"age>41 & estimated_salary>129525.5 & country==""Germany""",0.7484472049689441,0.1174463937621832,0.0322,0.2052,10000
"gender==""Female"" & age>41 & active_member==""No""",0.7466827503015682,0.3016569200779727,0.0829,0.2052,10000
age>47 & credit_score>645,0.7142857142857143,0.2941176470588235,0.07,0.17,100
"age>41 & country==""Germany""",0.7122905027932961,0.2485380116959064,0.0716,0.2052,10000
"credit_score<=606 & age>41 & active_member==""No""",0.7079439252336449,0.1476608187134503,0.0428,0.2052,10000
age>47,0.7049180327868853,0.4174757281553398,0.122,0.206,1000
"active_member==""No"" & age>41 & estimated_salary>129525.5",0.7044776119402985,0.2300194931773879,0.067,0.2052,10000
age>47,0.7,0.4117647058823529,0.1,0.17,100
"active_member==""No"" & age>41 & customer_id<=15667633",0.69375,0.2163742690058479,0.064,0.2052,10000
"tenure<=5 & age>41 & active_member==""No""",0.683684794672586,0.3001949317738791,0.0901,0.2052,10000
"age>41 & active_member==""No""",0.6656050955414012,0.5092592592592593,0.157,0.2052,10000
"gender==""Female"" & age>41 & estimated_salary>129525.5",0.6495726495726496,0.1851851851851851,0.0585,0.2052,10000
"gender==""Female"" & credit_score<=606 & age>41",0.6430517711171662,0.1150097465886939,0.0367,0.2052,10000
"gender==""Female"" & age>40",0.6363636363636364,0.4117647058823529,0.11,0.17,100
"gender==""Female"" & active_member==""No"" & country==""Germany""",0.6356275303643725,0.1530214424951267,0.0494,0.2052,10000
products_number<=1 & estimated_salary<=95611.74 & estimated_salary>68985.99,0.625,0.2941176470588235,0.08,0.17,100
"products_number<=1 & active_member==""No"" & estimated_salary<=95611.74",0.625,0.2941176470588235,0.08,0.17,100
products_number<=1 & estimated_salary>68985.99 & estimated_salary<=95611.74,0.625,0.2941176470588235,0.08,0.17,100
"gender==""Female"" & active_member==""No"" & country==""Germany""",0.625,0.145631067961165,0.048,0.206,1000
"gender==""Female"" & tenure<=5 & age>41",0.6243654822335025,0.239766081871345,0.0788,0.2052,10000
"products_number<=1 & estimated_salary<=123825.83 & active_member==""No""",0.6153846153846154,0.4705882352941176,0.13,0.17,100
"gender==""Female"" & age>41",0.6113951789627465,0.4078947368421052,0.1369,0.2052,10000
balance>101438.0 & age>41,0.6038114343029087,0.2933723196881092,0.0997,0.2052,10000
products_number<=1 & age>40,0.6,0.5294117647058824,0.15,0.17,100
"country!=""France"" & age>41",0.5854383358098069,0.3840155945419103,0.1346,0.2052,10000
age>40 & customer_id>15750874,0.5833333333333334,0.4117647058823529,0.12,0.17,100
"gender==""Female"" & balance<=126550.7 & products_number<=1",0.5833333333333334,0.4117647058823529,0.12,0.17,100
age>53,0.5740740740740741,0.1510721247563352,0.054,0.2052,10000
"active_member==""No"" & estimated_salary>129525.5 & country==""Germany""",0.5733333333333334,0.1257309941520467,0.045,0.2052,10000
"gender==""Female"" & customer_id>15766183 & active_member==""No""",0.5675675675675675,0.1019417475728155,0.037,0.206,1000
"customer_id>15766183 & gender==""Female"" & active_member==""No""",0.5675675675675675,0.1019417475728155,0.037,0.206,1000
"products_number<=1 & credit_card==""Yes"" & active_member==""No""",0.5555555555555556,0.5882352941176471,0.18,0.17,100
"products_number<=1 & country==""Germany""",0.5555555555555556,0.2941176470588235,0.09,0.17,100
estimated_salary>68985.99 & tenure<=4 & estimated_salary<=95611.74,0.5555555555555556,0.2941176470588235,0.09,0.17,100
tenure<=4 & estimated_salary<=95611.74 & estimated_salary>68985.99,0.5555555555555556,0.2941176470588235,0.09,0.17,100
"age>40 & credit_card==""Yes""",0.55,0.6470588235294118,0.2,0.17,100
credit_score<=606 & age>41,0.5470430107526881,0.1983430799220273,0.0744,0.2052,10000
