rule,precision,recall,rule_coverage,Target,Sample size
YearsEmployed>0.75 & CreditScore>2,1.0,0.29082774049217,0.13,0.447,1000
"Employed==""Yes"" & Gender==""Female"" & PriorDefault==""Yes""",1.0,0.2192393736017897,0.098,0.447,1000
CreditScore>8,1.0,0.105145413870246,0.047,0.447,1000
"Gender==""Female"" & PriorDefault==""Yes"" & ZipCode<=129",0.990909090909091,0.2438478747203579,0.11,0.447,1000
CreditScore>5,0.9903846153846154,0.2304250559284116,0.104,0.447,1000
"Employed==""Yes"" & PriorDefault==""Yes"" & ZipCode<=129",0.9893048128342246,0.4138702460850111,0.187,0.447,1000
"Gender==""Female"" & PriorDefault==""Yes"" & Ethnicity!=""White""",0.9818181818181818,0.1208053691275167,0.055,0.447,1000
"PriorDefault==""Yes"" & Income>50.0",0.9788732394366196,0.3109619686800894,0.142,0.447,1000
CreditScore>2,0.9783783783783784,0.4049217002237136,0.185,0.447,1000
"PriorDefault==""Yes"" & YearsEmployed>5.335",0.9782608695652174,0.1006711409395973,0.046,0.447,1000
YearsEmployed>5.335 & Debt>0.875,0.9782608695652174,0.1006711409395973,0.046,0.447,1000
"Employed==""Yes"" & PriorDefault==""Yes""",0.9770114942528736,0.5704697986577181,0.261,0.447,1000
"PriorDefault==""Yes"" & Industry==""Materials""",0.9761904761904762,0.1834451901565995,0.084,0.447,1000
YearsEmployed>0.75 & Income>560.0,0.9759036144578314,0.1812080536912751,0.083,0.447,1000
Income>560.0 & YearsEmployed>0.75,0.9759036144578314,0.1812080536912751,0.083,0.447,1000
"ZipCode<=129 & PriorDefault==""Yes"" & Debt>2.335",0.96875,0.4161073825503356,0.192,0.447,1000
"PriorDefault==""Yes"" & Age>42.17",0.9636363636363636,0.1185682326621924,0.055,0.447,1000
"PriorDefault==""Yes"" & Debt>9.25",0.961038961038961,0.1655480984340044,0.077,0.447,1000
"PriorDefault==""Yes"" & Ethnicity==""Black""",0.9603960396039604,0.2170022371364653,0.101,0.447,1000
"Employed==""Yes"" & Debt>9.25",0.96,0.1073825503355704,0.05,0.447,1000
"Industry!=""Financials"" & YearsEmployed>5.335",0.9583333333333334,0.1029082774049217,0.048,0.447,1000
"Citizen==""ByBirth"" & YearsEmployed>5.335",0.9574468085106383,0.1006711409395973,0.047,0.447,1000
"Married==""Yes"" & Gender==""Female"" & PriorDefault==""Yes""",0.9562043795620438,0.2930648769574944,0.137,0.447,1000
"Gender==""Female"" & PriorDefault==""Yes"" & BankCustomer==""Has account""",0.9562043795620438,0.2930648769574944,0.137,0.447,1000
"YearsEmployed>1.665 & PriorDefault==""Yes""",0.9542857142857144,0.3736017897091722,0.175,0.447,1000
"Employed==""Yes"" & YearsEmployed>0.75",0.953846153846154,0.4161073825503356,0.195,0.447,1000
YearsEmployed>0.75 & Income>50.0,0.9532710280373832,0.2281879194630872,0.107,0.447,1000
"Citizen==""ByBirth"" & PriorDefault==""Yes"" & ZipCode<=129",0.9531772575250836,0.6375838926174496,0.299,0.447,1000
"PriorDefault==""Yes"" & Debt>4.625",0.9527027027027029,0.3154362416107382,0.148,0.447,1000
"Gender==""Female"" & PriorDefault==""Yes"" & ZipCode<=210",0.950413223140496,0.2572706935123042,0.121,0.447,1000
"Ethnicity==""Black"" & ZipCode<=129",0.9493670886075948,0.1677852348993288,0.079,0.447,1000
