rule,precision,recall,rule_coverage,Target,Sample size
novator<=4.4 & selfcontrol>7.2,0.6060606060606061,0.1257861635220125,0.099,0.477,1000
stag<=16.65708419 & anxiety<=4.0,0.6020408163265306,0.1236897274633123,0.098,0.477,1000
novator<=4.4 & stag<=16.65708419,0.5982142857142857,0.140461215932914,0.112,0.477,1000
extraversion>5.4 & anxiety<=4.0,0.5963302752293578,0.1362683438155136,0.109,0.477,1000
novator<=4.4 & extraversion<=3.8,0.5955056179775281,0.1111111111111111,0.089,0.477,1000
novator<=4.4 & stag<=26.94045175,0.5942857142857143,0.2180293501048218,0.175,0.477,1000
stag<=48.45995893 & anxiety<=4.0,0.5935828877005348,0.2327044025157232,0.187,0.477,1000
age>30 & anxiety<=4.0,0.5887850467289719,0.1320754716981132,0.107,0.477,1000
anxiety<=4.0 & age>30,0.5887850467289719,0.1320754716981132,0.107,0.477,1000
novator<=4.4 & anxiety<=4.0,0.5882352941176471,0.1257861635220125,0.102,0.477,1000
extraversion<=3.8 & stag<=26.94045175,0.583941605839416,0.1677148846960167,0.137,0.477,1000
"coach!=""my head"" & anxiety<=4.0",0.5833333333333334,0.190775681341719,0.156,0.477,1000
selfcontrol>7.2 & stag<=48.45995893,0.5806451612903226,0.1509433962264151,0.124,0.477,1000
novator<=4.4 & age>30,0.5793103448275863,0.1761006289308176,0.145,0.477,1000
"way==""car"" & stag<=16.65708419",0.5779816513761468,0.1320754716981132,0.109,0.477,1000
"novator<=4.4 & coach!=""my head""",0.5767195767195767,0.2285115303983228,0.189,0.477,1000
novator<=4.4 & selfcontrol>5.7,0.5693069306930693,0.2410901467505241,0.202,0.477,1000
"selfcontrol>7.2 & coach!=""my head""",0.5652173913043478,0.1362683438155136,0.115,0.477,1000
stag<=26.94045175 & independ<=4.1,0.5629139072847682,0.1781970649895178,0.151,0.477,1000
anxiety<=4.0,0.5619469026548672,0.2662473794549266,0.226,0.477,1000
stag<=48.45995893 & age>36,0.5585585585585585,0.259958071278826,0.222,0.477,1000
extraversion<=3.8 & age>30,0.5555555555555556,0.1467505241090146,0.126,0.477,1000
selfcontrol>7.2,0.5547945205479452,0.1698113207547169,0.146,0.477,1000
"extraversion<=3.8 & coach!=""my head""",0.5491329479768786,0.1991614255765199,0.173,0.477,1000
"industry==""Consult""",0.5480769230769231,0.1194968553459119,0.104,0.477,1000
novator<=4.4,0.5475285171102662,0.3018867924528302,0.263,0.477,1000
"way==""car"" & coach!=""my head""",0.546875,0.220125786163522,0.192,0.477,1000
"coach!=""my head"" & age>36",0.5462962962962963,0.2473794549266247,0.216,0.477,1000
age>36,0.5394190871369294,0.2725366876310272,0.241,0.477,1000
stag<=48.45995893 & independ<=4.1,0.5371428571428571,0.1970649895178197,0.175,0.477,1000
extraversion<=3.8,0.5352112676056338,0.2389937106918239,0.213,0.477,1000
"traffic==""empjs""",0.5347985347985348,0.3060796645702306,0.273,0.477,1000
"way==""car"" & stag<=48.45995893",0.5294117647058824,0.2264150943396226,0.204,0.477,1000
stag<=48.45995893 & age>30,0.5287081339712919,0.4633123689727463,0.418,0.477,1000
"coach!=""my head"" & independ<=4.1",0.5153374233128835,0.1761006289308176,0.163,0.477,1000
independ<=4.1,0.5147058823529411,0.220125786163522,0.204,0.477,1000
"coach!=""my head"" & selfcontrol>5.7",0.5145985401459854,0.2955974842767295,0.274,0.477,1000
"stag<=48.45995893 & coach!=""my head""",0.5116279069767442,0.6918238993710691,0.645,0.477,1000
"coach!=""my head"" & age>30",0.5087281795511222,0.4276729559748428,0.401,0.477,1000
"industry!=""IT""",0.508551881413911,0.9350104821802936,0.877,0.477,1000
"way==""car""",0.508,0.2662473794549266,0.25,0.477,1000
stag<=48.45995893 & selfcontrol>5.7,0.5063694267515924,0.3333333333333333,0.314,0.477,1000
stag<=26.94045175,0.501466275659824,0.7169811320754716,0.682,0.477,1000
selfcontrol>5.7,0.492063492063492,0.389937106918239,0.378,0.477,1000
"traffic!=""youjs""",0.4919941775836972,0.7085953878406709,0.687,0.477,1000
novator>6.0,0.4919908466819222,0.450733752620545,0.437,0.477,1000
stag<=48.45995893,0.4918032786885246,0.8805031446540881,0.854,0.477,1000
extraversion>5.4,0.4909090909090909,0.5094339622641509,0.495,0.477,1000
age>30,0.4907975460122699,0.5031446540880503,0.489,0.477,1000
"coach!=""my head""",0.4893333333333333,0.7693920335429769,0.75,0.477,1000
"traffic!=""friends""",0.488962472406181,0.9287211740041929,0.906,0.477,1000
"profession!=""IT""",0.4889123548046462,0.9706498951781972,0.947,0.477,1000
