rule,precision,recall,rule_coverage,Target,Sample size
"age<=28 & stag<=6.176591376 & industry!=""manufacture""",1.0,0.1666666666666666,0.08,0.48,100
"age<=28 & traffic!=""friends"" & stag<=6.176591376",1.0,0.1458333333333333,0.07,0.48,100
selfcontrol>6.4 & stag<=79.54004107 & novator<=2.9,1.0,0.1458333333333333,0.07,0.48,100
"way!=""car"" & extraversion<=7.0 & industry==""etc""",1.0,0.1458333333333333,0.07,0.48,100
"traffic==""empjs"" & independ>4.8 & anxiety<=4.8",1.0,0.1458333333333333,0.07,0.48,100
"traffic!=""friends"" & age<=28 & stag<=6.176591376",1.0,0.1458333333333333,0.07,0.48,100
"traffic==""empjs"" & way!=""car"" & selfcontrol>4.9",0.9090909090909092,0.2083333333333333,0.11,0.48,100
"traffic==""empjs"" & extraversion<=7.0 & selfcontrol>4.9",0.9090909090909092,0.2083333333333333,0.11,0.48,100
age<=28 & stag<=6.176591376,0.8888888888888888,0.1666666666666666,0.09,0.48,100
"traffic==""empjs"" & anxiety<=4.8",0.8888888888888888,0.1666666666666666,0.09,0.48,100
stag<=79.54004107 & novator<=2.9,0.875,0.1458333333333333,0.08,0.48,100
"way!=""car"" & industry==""etc""",0.875,0.1458333333333333,0.08,0.48,100
"extraversion<=7.0 & industry==""etc""",0.875,0.1458333333333333,0.08,0.48,100
"novator<=2.9 & industry!=""manufacture""",0.875,0.1458333333333333,0.08,0.48,100
selfcontrol>6.4 & novator<=2.9,0.875,0.1458333333333333,0.08,0.48,100
stag<=6.176591376 & independ>5.5,0.8,0.1666666666666666,0.1,0.48,100
age<=36 & stag<=6.176591376,0.7857142857142857,0.2291666666666666,0.14,0.48,100
independ>4.8 & anxiety<=4.0,0.7777777777777778,0.2916666666666667,0.18,0.48,100
"industry==""etc""",0.7777777777777778,0.1458333333333333,0.09,0.48,100
"industry==""Banks""",0.7777777777777778,0.1458333333333333,0.09,0.48,100
novator<=2.9,0.7777777777777778,0.1458333333333333,0.09,0.48,100
stag<=6.176591376 & anxiety<=4.8,0.7777777777777778,0.1458333333333333,0.09,0.48,100
"coach==""yes"" & stag<=36.94045175",0.7692307692307693,0.2083333333333333,0.13,0.48,100
"traffic==""empjs"" & selfcontrol>4.9",0.7692307692307693,0.2083333333333333,0.13,0.48,100
"stag<=6.176591376 & gender==""f""",0.7333333333333333,0.2291666666666666,0.15,0.48,100
novator<=4.4 & extraversion<=3.8,0.7272727272727273,0.1666666666666666,0.11,0.48,100
