rule,precision,recall,rule_coverage,Target,Sample size
"age<=40 & region!=""Midlands & East Anglia"" & highest_qualification!=""Degree"" & nationality!=""English""",1.0,0.2857142857142857,0.08,0.28,100
"region!=""Midlands & East Anglia"" & marital_status!=""Married"" & nationality!=""English"" & age<=66",1.0,0.25,0.07,0.28,100
"region==""South West""",1.0,0.1071428571428571,0.03,0.28,100
"region!=""Midlands & East Anglia"" & gross_income!=""15"" & marital_status==""Single""",0.9090909090909092,0.3571428571428571,0.11,0.28,100
"age<=40 & gross_income==""5"" & highest_qualification!=""Degree""",0.875,0.25,0.08,0.28,100
"gender==""Male"" & age<=52 & gross_income==""5""",0.8571428571428571,0.2142857142857142,0.07,0.28,100
"region!=""Midlands & East Anglia"" & gross_income!=""15"" & highest_qualification==""GCSE/O Level""",0.8333333333333334,0.3571428571428571,0.12,0.28,100
"marital_status!=""Married"" & nationality!=""English"" & age<=66",0.7777777777777778,0.25,0.09,0.28,100
"gross_income!=""15"" & marital_status==""Single""",0.7692307692307693,0.3571428571428571,0.13,0.28,100
"region!=""Midlands & East Anglia"" & marital_status==""Single""",0.7692307692307693,0.3571428571428571,0.13,0.28,100
"age<=52 & gross_income==""5"" & highest_qualification!=""Degree""",0.7692307692307693,0.3571428571428571,0.13,0.28,100
"marital_status==""Single"" & gross_income!=""15""",0.7692307692307693,0.3571428571428571,0.13,0.28,100
"region!=""Midlands & East Anglia"" & marital_status!=""Married"" & age<=66",0.7647058823529411,0.4642857142857143,0.17,0.28,100
"age<=40 & region!=""Midlands & East Anglia"" & highest_qualification!=""Degree""",0.75,0.5357142857142857,0.2,0.28,100
"age<=40 & nationality!=""English"" & highest_qualification!=""Degree""",0.7272727272727273,0.2857142857142857,0.11,0.28,100
"age<=40 & gross_income==""5""",0.7,0.25,0.1,0.28,100
"marital_status==""Single""",0.6875,0.3928571428571428,0.16,0.28,100
"marital_status!=""Married"" & age<=66",0.6666666666666666,0.5,0.21,0.28,100
"age<=52 & gross_income==""5""",0.6666666666666666,0.3571428571428571,0.15,0.28,100
"highest_qualification==""GCSE/O Level"" & gross_income!=""15""",0.6666666666666666,0.3571428571428571,0.15,0.28,100
"gross_income!=""15"" & highest_qualification==""GCSE/O Level""",0.6666666666666666,0.3571428571428571,0.15,0.28,100
"gender==""Male"" & nationality!=""English"" & highest_qualification!=""Degree""",0.6666666666666666,0.2857142857142857,0.12,0.28,100
"gross_income==""5"" & highest_qualification==""GCSE/O Level""",0.6666666666666666,0.2142857142857142,0.09,0.28,100
"region!=""Midlands & East Anglia"" & highest_qualification==""GCSE/O Level""",0.625,0.3571428571428571,0.16,0.28,100
"region!=""Midlands & East Anglia"" & marital_status!=""Married""",0.6,0.5357142857142857,0.25,0.28,100
"gender==""Male"" & region!=""Midlands & East Anglia"" & nationality!=""English""",0.6,0.3214285714285714,0.15,0.28,100
"region==""Wales""",0.6,0.1071428571428571,0.05,0.28,100
"age<=40 & highest_qualification!=""Degree""",0.5925925925925926,0.5714285714285714,0.27,0.28,100
"age<=40 & region!=""Midlands & East Anglia""",0.5769230769230769,0.5357142857142857,0.26,0.28,100
"gender==""Male"" & nationality!=""English""",0.5625,0.3214285714285714,0.16,0.28,100
"age<=40 & gross_income!=""15""",0.5357142857142857,0.5357142857142857,0.28,0.28,100
"gender==""Male"" & age<=40",0.5333333333333333,0.2857142857142857,0.15,0.28,100
"marital_status!=""Married"" & age<=78",0.53125,0.6071428571428571,0.32,0.28,100
"age<=52 & highest_qualification!=""Degree""",0.5263157894736842,0.7142857142857143,0.38,0.28,100
"marital_status!=""Married"" & gross_income!=""15""",0.5161290322580645,0.5714285714285714,0.31,0.28,100
"marital_status!=""Married"" & highest_qualification!=""Degree""",0.5151515151515151,0.6071428571428571,0.33,0.28,100
"marital_status!=""Married""",0.5,0.6071428571428571,0.34,0.28,100
"region==""London""",0.5,0.1071428571428571,0.06,0.28,100
"highest_qualification==""GCSE/O Level""",0.4761904761904761,0.3571428571428571,0.21,0.28,100
age<=40,0.4705882352941176,0.5714285714285714,0.34,0.28,100
"gender==""Male"" & gross_income==""5""",0.4666666666666667,0.25,0.15,0.28,100
"gross_income==""10""",0.4444444444444444,0.1428571428571428,0.09,0.28,100
"region==""Scotland""",0.4285714285714285,0.1071428571428571,0.07,0.28,100
age<=52,0.42,0.75,0.5,0.28,100
"gross_income==""5""",0.375,0.4285714285714285,0.32,0.28,100
"region!=""Midlands & East Anglia""",0.3571428571428571,0.8928571428571429,0.7,0.28,100
"gender==""Male""",0.3414634146341463,0.5,0.41,0.28,100
age<=66,0.3380281690140845,0.8571428571428571,0.71,0.28,100
"nationality==""Scottish""",0.3333333333333333,0.1071428571428571,0.09,0.28,100
"highest_qualification!=""No Qualification""",0.3272727272727272,0.6428571428571429,0.55,0.28,100
"highest_qualification!=""Degree""",0.3176470588235294,0.9642857142857144,0.85,0.28,100
"nationality!=""English""",0.3111111111111111,0.5,0.45,0.28,100
"gross_income!=""Under 2""",0.3033707865168539,0.9642857142857144,0.89,0.28,100
"gross_income!=""15""",0.2967032967032967,0.9642857142857144,0.91,0.28,100
age<=78,0.2916666666666667,1.0,0.96,0.28,100
