rule,precision,recall,rule_coverage,Target,Sample size
"highest_qualification==""GCSE/CSE"" & marital_status!=""Married""",0.7352941176470589,0.1063829787234042,0.034,0.235,1000
"age<=45 & region==""South East"" & marital_status==""Single""",0.7297297297297297,0.1148936170212766,0.037,0.235,1000
"age<=45 & highest_qualification==""GCSE/CSE""",0.6304347826086957,0.1234042553191489,0.046,0.235,1000
"region==""South East"" & marital_status==""Single""",0.6304347826086957,0.1234042553191489,0.046,0.235,1000
"age<=30 & highest_qualification!=""Degree""",0.6,0.2808510638297872,0.11,0.235,1000
"highest_qualification!=""No Qualification"" & gross_income==""Under 2""",0.5957446808510638,0.1191489361702127,0.047,0.235,1000
"age<=45 & gross_income==""Under 2""",0.5869565217391305,0.1148936170212766,0.046,0.235,1000
"highest_qualification==""GCSE/CSE""",0.5849056603773585,0.1319148936170212,0.053,0.235,1000
"age<=30 & marital_status!=""Married""",0.5555555555555556,0.2553191489361702,0.108,0.235,1000
"highest_qualification!=""Degree"" & marital_status==""Single""",0.5337078651685393,0.4042553191489361,0.178,0.235,1000
"region!=""Midlands & East Anglia"" & age<=30",0.532608695652174,0.2085106382978723,0.092,0.235,1000
age<=30,0.5307692307692308,0.2936170212765957,0.13,0.235,1000
"marital_status==""Single""",0.4691943127962085,0.4212765957446808,0.211,0.235,1000
"highest_qualification==""GCSE/O Level""",0.3766233766233766,0.3702127659574468,0.231,0.235,1000
"gender==""Male"" & region==""South East""",0.3714285714285714,0.1106382978723404,0.07,0.235,1000
"marital_status!=""Married""",0.3559718969555035,0.6468085106382979,0.427,0.235,1000
age<=45,0.3520179372197309,0.6680851063829787,0.446,0.235,1000
"region==""London""",0.32,0.102127659574468,0.075,0.235,1000
age<=60,0.3178294573643411,0.8723404255319149,0.645,0.235,1000
"gender==""Male"" & highest_qualification!=""Degree""",0.3057324840764331,0.4085106382978723,0.314,0.235,1000
"gross_income==""Under 2""",0.3020833333333333,0.1234042553191489,0.096,0.235,1000
"gender==""Male"" & region!=""Midlands & East Anglia""",0.2862745098039215,0.3106382978723404,0.255,0.235,1000
"gross_income==""2""",0.2839506172839506,0.1957446808510638,0.162,0.235,1000
"region==""South East""",0.2807017543859649,0.2042553191489361,0.171,0.235,1000
"highest_qualification!=""No Qualification""",0.2759197324414715,0.7021276595744681,0.598,0.235,1000
"highest_qualification!=""Degree""",0.269185360094451,0.9702127659574468,0.847,0.235,1000
"region!=""Midlands & East Anglia""",0.267071320182094,0.7489361702127659,0.659,0.235,1000
age<=75,0.2610169491525423,0.9829787234042552,0.885,0.235,1000
"marital_status!=""Widowed""",0.2525714285714285,0.9404255319148936,0.875,0.235,1000
"gender==""Male""",0.2493765586034912,0.425531914893617,0.401,0.235,1000
