rule,precision,recall,rule_coverage,Target,Sample size
"age<=40 & region!=""Midlands & East Anglia"" & highest_qualification!=""Degree"" & nationality!=""English""",1.0,0.2857142857142857,0.08,0.28,100
"region!=""Midlands & East Anglia"" & marital_status!=""Married"" & nationality!=""English"" & age<=66",1.0,0.25,0.07,0.28,100
"region==""South West""",1.0,0.1071428571428571,0.03,0.28,100
"region!=""Midlands & East Anglia"" & gross_income!=""15"" & marital_status==""Single""",0.9090909090909092,0.3571428571428571,0.11,0.28,100
"age<=40 & gross_income==""5"" & highest_qualification!=""Degree""",0.875,0.25,0.08,0.28,100
"gender==""Male"" & age<=52 & gross_income==""5""",0.8571428571428571,0.2142857142857142,0.07,0.28,100
"region!=""Midlands & East Anglia"" & gross_income!=""15"" & highest_qualification==""GCSE/O Level""",0.8333333333333334,0.3571428571428571,0.12,0.28,100
"marital_status!=""Married"" & nationality!=""English"" & age<=66",0.7777777777777778,0.25,0.09,0.28,100
"gross_income!=""15"" & marital_status==""Single""",0.7692307692307693,0.3571428571428571,0.13,0.28,100
"region!=""Midlands & East Anglia"" & marital_status==""Single""",0.7692307692307693,0.3571428571428571,0.13,0.28,100
"age<=52 & gross_income==""5"" & highest_qualification!=""Degree""",0.7692307692307693,0.3571428571428571,0.13,0.28,100
"marital_status==""Single"" & gross_income!=""15""",0.7692307692307693,0.3571428571428571,0.13,0.28,100
"region!=""Midlands & East Anglia"" & marital_status!=""Married"" & age<=66",0.7647058823529411,0.4642857142857143,0.17,0.28,100
"age<=40 & region!=""Midlands & East Anglia"" & highest_qualification!=""Degree""",0.75,0.5357142857142857,0.2,0.28,100
"highest_qualification==""GCSE/CSE"" & marital_status!=""Married""",0.7352941176470589,0.1063829787234042,0.034,0.235,1000
"age<=45 & region==""South East"" & marital_status==""Single""",0.7297297297297297,0.1148936170212766,0.037,0.235,1000
"age<=40 & nationality!=""English"" & highest_qualification!=""Degree""",0.7272727272727273,0.2857142857142857,0.11,0.28,100
"age<=40 & gross_income==""5""",0.7,0.25,0.1,0.28,100
"marital_status==""Single""",0.6875,0.3928571428571428,0.16,0.28,100
"marital_status!=""Married"" & age<=66",0.6666666666666666,0.5,0.21,0.28,100
"age<=52 & gross_income==""5""",0.6666666666666666,0.3571428571428571,0.15,0.28,100
"highest_qualification==""GCSE/O Level"" & gross_income!=""15""",0.6666666666666666,0.3571428571428571,0.15,0.28,100
"gross_income!=""15"" & highest_qualification==""GCSE/O Level""",0.6666666666666666,0.3571428571428571,0.15,0.28,100
"gender==""Male"" & nationality!=""English"" & highest_qualification!=""Degree""",0.6666666666666666,0.2857142857142857,0.12,0.28,100
"gross_income==""5"" & highest_qualification==""GCSE/O Level""",0.6666666666666666,0.2142857142857142,0.09,0.28,100
"highest_qualification==""GCSE/O Level"" & marital_status==""Single""",0.6352941176470588,0.2140309155766944,0.085,0.2523,10000
